epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,347.447,0.8967,0.51143,0.90076,0.99688,0.99684,0.99292,0.74292,0.88827,0.43719,0.89204,0.000742625,0.000742625,0.000742625
43,355.388,0.871,0.49044,0.89839,0.99673,0.99605,0.99305,0.74446,0.87546,0.4381,0.89216,0.00073025,0.00073025,0.00073025
44,363.91,0.87457,0.49944,0.90479,0.9973,0.99466,0.99358,0.74147,0.9114,0.44873,0.89783,0.000717875,0.000717875,0.000717875
45,371.013,0.88257,0.51103,0.89794,0.9978,0.99367,0.99332,0.74151,0.85909,0.42495,0.88967,0.0007055,0.0007055,0.0007055
46,379.7,0.86135,0.49157,0.89376,0.99777,0.99367,0.99317,0.74137,0.90257,0.44334,0.90156,0.000693125,0.000693125,0.000693125
47,387.922,0.88693,0.51113,0.90279,0.99753,0.99525,0.99299,0.73796,0.87686,0.44977,0.89624,0.00068075,0.00068075,0.00068075
48,395.658,0.87196,0.50391,0.90394,0.9966,0.99367,0.99274,0.75753,0.86808,0.42553,0.8891,0.000668375,0.000668375,0.000668375
49,404.028,0.86215,0.48331,0.89647,0.99384,0.99587,0.99284,0.74009,0.90505,0.45306,0.90013,0.000656,0.000656,0.000656
50,411.529,0.85463,0.48085,0.891,0.9965,0.99353,0.99333,0.75619,0.86212,0.41841,0.88618,0.000643625,0.000643625,0.000643625
51,420.04,0.88033,0.49679,0.90196,0.99739,0.99367,0.99332,0.73523,0.89032,0.44349,0.89219,0.00063125,0.00063125,0.00063125
52,428.527,0.85857,0.48528,0.89207,0.99735,0.99485,0.99379,0.74427,0.8762,0.42967,0.88678,0.000618875,0.000618875,0.000618875
53,435.816,0.86623,0.4932,0.89177,0.9982,0.99684,0.99345,0.74302,0.89318,0.43755,0.89475,0.0006065,0.0006065,0.0006065
54,444.187,0.82655,0.46745,0.88814,0.9954,0.99684,0.99369,0.7556,0.87127,0.41742,0.89161,0.000594125,0.000594125,0.000594125
55,451.237,0.8469,0.46958,0.90083,0.99705,0.99367,0.99344,0.75036,0.83321,0.40307,0.8841,0.00058175,0.00058175,0.00058175
56,459.911,0.84943,0.47103,0.90053,0.9953,0.99596,0.99343,0.75151,0.87593,0.41932,0.88567,0.000569375,0.000569375,0.000569375
57,468.369,0.84145,0.46973,0.8894,0.99622,0.99455,0.99353,0.73162,0.91953,0.45042,0.89913,0.000557,0.000557,0.000557
58,475.586,0.84267,0.46747,0.88813,0.99699,0.99635,0.99339,0.75197,0.90579,0.4269,0.89542,0.000544625,0.000544625,0.000544625
59,484.112,0.83114,0.46533,0.89219,0.99708,0.99623,0.99327,0.75685,0.8452,0.41092,0.88263,0.00053225,0.00053225,0.00053225
60,492.221,0.82549,0.46124,0.89415,0.99769,0.99408,0.99376,0.77101,0.86369,0.41304,0.88191,0.000519875,0.000519875,0.000519875
61,499.845,0.81771,0.46085,0.88304,0.9965,0.994,0.99377,0.76132,0.86224,0.4187,0.88694,0.0005075,0.0005075,0.0005075
62,508.358,0.83474,0.47363,0.89053,0.99824,0.99447,0.99384,0.75319,0.86899,0.41197,0.88667,0.000495125,0.000495125,0.000495125
63,515.566,0.82868,0.45162,0.89352,0.99755,0.99684,0.99366,0.73461,0.93518,0.42684,0.89188,0.00048275,0.00048275,0.00048275
64,523.902,0.81533,0.45126,0.88509,0.99672,0.99487,0.99363,0.75534,0.86101,0.40846,0.8889,0.000470375,0.000470375,0.000470375
65,532.509,0.8101,0.44714,0.88567,0.99796,0.99642,0.99351,0.76054,0.86568,0.39454,0.88553,0.000458,0.000458,0.000458
66,539.801,0.82972,0.45277,0.88721,0.99798,0.99465,0.99398,0.76546,0.84066,0.39819,0.87867,0.000445625,0.000445625,0.000445625
67,548.129,0.79975,0.44453,0.88391,0.99759,0.99684,0.9935,0.74959,0.87888,0.41112,0.88242,0.00043325,0.00043325,0.00043325
68,555.664,0.81194,0.45515,0.88808,0.9987,0.99684,0.99362,0.75838,0.85596,0.39709,0.88097,0.000420875,0.000420875,0.000420875
69,563.818,0.82731,0.4482,0.8907,0.99818,0.99682,0.99346,0.76512,0.83937,0.4039,0.87823,0.0004085,0.0004085,0.0004085
70,572.199,0.81189,0.44518,0.88649,0.99809,0.99684,0.9935,0.75431,0.8716,0.41242,0.88893,0.000396125,0.000396125,0.000396125
